made,shot_x,shot_y,shooter_velocity_ft_sec,shooter_velocity_angle,dribbles_before,defender_distance,defender_angle,defender_velocity_ft_sec,defender_velocity_angle
0,-5.89941835,8.377843789,6.072552595,-143.6898684,11,2.559448258,-15.36559339,2.859552467,172.2751171
1,-3.056690421,12.19414441,12,-29.70995937,9,1.094012386,-79.68448811,10.14991125,63.4390675
0,-5.136946395,24.96339894,0.812630562,57.9146434,5,1.257821497,-8.185432649,3.031896627,-66.35824516
1,3.957567427,-0.602018469,1.172415412,56.06244874,1,2.100523386,-3.591392391,0,-7.12552024
1,2.03332607,24.24140689,0.758411655,86.3412957,10,4.490256444,3.412833382,1.547628141,51.39823824
1,-2.199263735,1.12509474,0,-19.49015593,0,2.275638041,-160.3054107,2.596424466,82.93236839
0,-9.2110825,27.29726456,0.863542945,168.0733321,1,4.394360738,10.16985082,8.196717186,27.76034073
1,7.520753483,7.62206822,12,71.37873729,4,2.947598841,126.0370072,12,87.54883299
0,22.67689743,-1.849117992,2.513481127,52.1618982,0,7.293171338,38.5230251,11.30993904,-33.39960307
0,0.549477807,-0.16178367,4.894226434,-33.54261994,1,0.426813666,-41.68616927,6.088150583,81.33862369
0,-23.08099474,6.645312942,1.099911437,170.4034705,0,8.511486523,4.492265377,4.16421887,88.76087775
0,-12.68093304,61.87175392,4.816868135,-16.84038833,0,4.747958499,107.0162673,7.774017008,-22.49729382
1,1.101881197,7.627413121,5.912479998,57.16663617,3,2.983238482,-22.8384425,3.91124296,-80.80509868
0,-14.27439623,54.94982288,11.22492796,5.961648696,1,6.979497911,3.033460314,2.210997743,64.55578547
